RD,ITU,ITP,Description
1,0,1,Electric and electronic equipment
1,1,0,Motor vehicles and equipment
1,1,0,Other transportation equipment
1,1,1,Printing and publishing
1,0,0,Chemicals and allied products
1,1,1,Business services
1,1,1,Miscellaneous professional services
0,1,0,Furniture and fixtures
0,1,0,"Machinery, except electrical"
0,1,0,Instruments and related products
0,1,0,Miscellaneous manufacturing industries
0,1,0,Apparel and other textile products
0,1,1,Communication
0,1,0,Wholesale trade
0,1,0,Retail trade
0,1,0,Real estate
0,1,1,Motion pictures
